treatment_key,year,location,test_id,experiment_name,watered,planting_date,digging_date,test_entry,variety_key,variety,treatment,block,plot_number,plot_weight,total_seed_weight,total_seed_count,calc_seed_weight_200,seed_weight_200,seed_weight_100,seed_per_pound,peanut_yield,moisture,tsmk,ok,dk,elk,fancy,maturity_code,maturity,market_type,plot_harvest_length,plot_harvest_width,plots_per_acre,plot_row_number,plot_column_number,notes,plots
Georgia-12Yø608PN20-310,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-12Y,,3,310,11.54,,882,-9,,51.4,882.475428,4189,,64,8,2,0,,7,ML,Runner,20,6,363,,,,
Georgia-12Yø608PN20-429,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-12Y,,4,429,11.54,,,-9,,,-9,4189,,,,,,,7,ML,Runner,20,6,363,,,,
Georgia-14Nø708PN21-412,2021,Plains,708PN,708PN21,FALSE,,10/27/2021,,,Georgia-14N,,4,412,11.54,,,-9,,,-9,4189,,,,,,,6,M+,Runner,20,6,363,,,,
Georgia-16HOø607PN20-218,2020,Tifton,607PN,607PN20,TRUE,,,,,Georgia-16HO,,2,218,11.54,,,-9,,,-9,4189,,,,,,,5,M,Runner,20,6,363,,,,
Georgia-16HOø608PN20-616,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-16HO,,6,616,11.54,,730,-9,,62.1,730.422496,4189,,74,4,0,0,,5,M,Runner,20,6,363,,,,
Georgia-18RUø608PN20-113,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-18RU,,1,113,11.54,,,-9,,,-9,4189,,,,,,,6,M+,Runner,20,6,363,,,,
Georgia-18RUø608PN20-327,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-18RU,,3,327,11.54,,745,-9,,60.9,744.8150575,4189,,76,3,0,0,,6,M+,Runner,20,6,363,,,,
Georgia-19HPø608PN20-123,2020,Tifton,608PN,608PN20,FALSE,,,,,Georgia-19HP,,1,123,11.54,,,-9,,,-9,4189,,,,,,,5,M,Virginia,20,6,363,,,,
TifJumboø608PN20-625,2020,Tifton,608PN,608PN20,FALSE,,,,,TifJumbo,,6,625,11.54,,723,-9,,62.7,723.432807,4189,,71,3,1,35,,5,M,Virginia,20,6,363,,,,
TifNV-High O/Lø607PN20-202,2020,Tifton,607PN,607PN20,TRUE,,,,,TifNV-High O/L,,2,202,11.54,,,-9,,,-9,4189,,,,,,,5,M,Runner,20,6,363,,,,
TufRunnerTM '297'ø607PN20-430,2020,Tifton,607PN,607PN20,TRUE,,,,,TufRunnerTM '297',,4,430,11.54,,,-9,,,-9,4189,,,,,,,5,M,Runner,20,6,363,,,,
TufRunnerTM '297'ø607PN20-503,2020,Tifton,607PN,607PN20,TRUE,,,,,TufRunnerTM '297',,5,503,11.54,,,-9,,,-9,4189,,,,,,,5,M,Runner,20,6,363,,,,
TufRunnerTM '297'ø608PN20-208,2020,Tifton,608PN,608PN20,FALSE,,,,,TufRunnerTM '297',,2,208,11.54,,,-9,,,-9,4189,,,,,,,5,M,Runner,20,6,363,,,,
UF 12303ø508PN14-303,2014,Midville,508PN,508PN14,FALSE,,11/4/2014,235,,UF 12303,,3,303,11.54,,,-9,,,-9,4189,7,,,,,,5,M,Runner,20,6,363,,,,
Champsø608PN13-102,2013,Tifton,608PN,608PN13,FALSE,,9/13/2013,66,,Champs,,1,102,11.55,,,-9,,96.1,472.000385,4193,7,69,3,1,49,84,4,M-,Virginia,20,6,363,,,,
Florida-07ø508PN13-612,2013,Midville,508PN,508PN13,FALSE,,10/24/2013,73,,Florida-07,,6,612,11.55,,,-9,,,-9,4193,7,,,,,,6,M+,Runner,20,6,363,,,,
Florida-07ø708PN13-327,2013,Plains,708PN,708PN13,FALSE,,10/23/2013,73,,Florida-07,,3,327,11.55,,,-9,,,-9,4193,7,,,,,,6,M+,Runner,20,6,363,,,,
GA 072514ø508PN13-118,2013,Midville,508PN,508PN13,FALSE,,10/24/2013,117,,GA 072514,,1,118,11.55,,,-9,,72.15,628.6796535,4193,7,75,1,1,0,0,5,M,Runner,20,6,363,,,,
GA 102716ø507PN13-416,2013,Midville,507PN,507PN13,TRUE,,10/24/2013,228,,GA 102716,,4,416,11.55,,,-9,,,-9,4193,7,,,,,,5,M,Runner,20,6,363,,,,
Georgia-02Cø608PN13-219,2013,Tifton,608PN,608PN13,FALSE,,10/3/2013,60,,Georgia-02C,,2,219,11.55,,,-9,,70.1,647.0647218,4193,7,75,4,1,0,0,6,M+,Runner,20,6,363,,,,
Georgia-07Wø707PN14-320,2014,Plains,707PN,707PN14,TRUE,,10/6/2014,96,,Georgia-07W,,3,320,11.55,,,-9,,,-9,4193,7,,,,,,6,M+,Runner,20,6,363,,,,
Suggø707PN14-502,2014,Plains,707PN,707PN14,TRUE,,9/19/2014,112,,Sugg,,5,502,11.55,,,-9,,,-9,4193,7,,,,,,4,M-,Virginia,20,6,363,,,,
Sullivanø608PN15-628,2015,Tifton,608PN,608PN15,FALSE,,10/15/2015,237,,Sullivan,,6,628,11.55,,,-9,,,-9,4193,7,,,,,,6,M+,Virginia,20,6,363,,,,
Tifguardø607PN15-228,2015,Tifton,607PN,607PN15,TRUE,,9/25/2015,83,,Tifguard,,2,228,11.55,,,-9,,,-9,4193,7,,,,,,5,M,Runner,20,6,363,,,,
Wynneø607PN16-212,2016,Tifton,607PN,607PN16,TRUE,,9/12/2016,236,,Wynne,,2,212,11.55,,,-9,,,-9,4193,7,,,,,,4,M-,Virginia,20,6,363,,,,
Georgia-14Nø608PN23-108,2023,Tifton,608PN,608PN23,FALSE,,,8,,Georgia-14N,,1,108,11.55284916,,,-9,,,-9,4194,,,,,,,6,M+,Runner,20,6,363,1,8,,
Champsø608PN13-302,2013,Tifton,608PN,608PN13,FALSE,,9/13/2013,66,,Champs,,3,302,11.56,,,-9,,,-9,4196,7,,,,,,4,M-,Virginia,20,6,363,,,,
Florida-07ø608PN14-429,2014,Tifton,608PN,608PN14,FALSE,,12/31/2013,73,,Florida-07,,4,429,11.56,,,-9,,80.85,561.0295238,4196,7,66,4,3,0,0,6,M+,Runner,20,6,363,,,,
Tifguardø508PN17-105,2017,Midville,508PN,508PN17,FALSE,,10/10/2017,83,,Tifguard,,1,105,11.56,,,-9,,,-9,4196,10,,,,,,5,M,Runner,20,6,363,,,,
